type,glass,plastics,food waste,paper-cardboard,metals,hazardous,other-organics,masonry-materials
Waste services,25646,122526,27648,335086,366414,636832,621959,1749519
Agriculture,18010,86073,83449,235714,252552,438250,366220,1160595
Mining,47326,222812,55346,619889,600082,1025901,1105217,2009803
Manufacturing,246116,1160071,1593250,3223087,3151624,5395832,4457575,10947198
Electricity gas water services,7598,36294,8189,99262,108543,188650,184243,518260
Construction,118677,605253,407458,1532380,2583357,4688900,3038095,22319512
Public administration safety,12175,58181,56407,159329,170712,296235,247547,784502
All other industries,382046,1825878,1770181,5000105,5357265,9296432,7768531,24619326
Households,2464559,3521083,9676831,6295183,3395801,0,9328632,874981
Imports,22645,39754,2834057,15856,3111847,393006,98848,0
